unit_id,area,probability,sweep_width,visibility
101,41066.100000000000000,0.150000000000000,0.5,Harvested Field
102,24249.000000000000000,0.200000000000000,0.5,Bare Rock
103,9435.460000000000000,0.250000000000000,0.5,Bare Rock
104,6474.250000000000000,0.150000000000000,0.5,Bare Rock
105,52609.600000000000000,0.200000000000000,0.5,Bare Rock
106,466.463000000000000,0.250000000000000,0.5,Bare Rock
107,2235.240000000000000,0.200000000000000,0.5,Bare Rock
108,8142.980000000000000,0.200000000000000,0.5,Bare Rock
109,3345.750000000000000,0.200000000000000,0.5,Bare Rock
111,3610.950000000000000,0.200000000000000,0.5,Bare Rock
112,568.280000000000000,0.200000000000000,0.5,Bare Rock
114,1243.110000000000000,0.300000000000000,0.5,Bare Rock
115,7458.680000000000000,0.200000000000000,0.5,Bare Rock
116,1000.110000000000000,0.200000000000000,0.5,Bare Rock
117,880.835000000000000,0.100000000000000,0.5,Bare Rock
118,5251.470000000000000,0.300000000000000,0.5,Bare Rock
119,1517.530000000000000,0.200000000000000,0.5,Bare Rock
120,2892.390000000000000,0.200000000000000,0.5,Bare Rock
126,33935.800000000000000,0.400000000000000,0.5,Plowed Orchard
127,18256.000000000000000,0.400000000000000,0.5,Plowed Orchard
128,24831.500000000000000,0.200000000000000,0.5,Bare Rock
130,4262.100000000000000,0.200000000000000,0.5,Bare Rock
131,1444.910000000000000,0.150000000000000,0.5,Bare Rock
132,6555.460000000000000,0.200000000000000,0.5,Bare Rock
133,3916.680000000000000,0.200000000000000,0.5,Bare Rock
134,13649.000000000000000,0.200000000000000,0.5,Harvested Field
135,15908.100000000000000,0.200000000000000,0.5,Harvested Field
136,18073.200000000000000,0.300000000000000,0.5,Bare Rock
